"NAME [String]","METHOD [String]","regularizationType [String]","scalerType [String]","featuresColumn [String]","C [Double]","rocAuc [Double]","rocAuc_1 [Double]","rocAuc_2 [Double]","rocAuc_3 [Double]"
"data_solubility","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0","0.9731817643569767","0.9763082673702725","0.9824146441793503","0.9608223815213074"
"data_solubility","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0","0.9723043401628623","0.9721855760773968","0.9776326614561911","0.9670947829549987"
"data_solubility","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0","0.9388083649061638","0.957014072119613","0.9497634718222954","0.9096475507765833"
"data_solubility","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0","0.9351736722183213","0.9545954265611257","0.9443644590703416","0.9065611310234966"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","1.0E-4","0.5835062660249395","0.6018182864376584","0.5700061902322409","0.5786943214049192"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","rdkit_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_tuberculosis","SVC_LIN_DESC","L2","Standard","rdkit_desc","1.0E-4","0.6375746572681413","0.637760602418665","0.6294580344945353","0.6455053348912239"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","cdk_desc","1.0E-4","0.598005198868397","0.6177407780155422","0.580941555669398","0.5953332629202508"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","cdk_desc","1.0E-4","0.5","0.5","0.5","0.5"
"data_tuberculosis","SVC_LIN_DESC","L2","Standard","cdk_desc","1.0E-4","0.6592818968880647","0.6612165843183159","0.6521270918715872","0.664502014474291"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.001","0.42543103031844537","0.4224714929208641","0.44342554644808774","0.41039605158638437"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.001","0.6211020607859755","0.6334559059024868","0.6069629439890692","0.6228873324663707"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.001","0.6052354224169402","0.6186652292345892","0.5839598275273225","0.6130812104889088"
"data_tuberculosis","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.001","0.6412710097561054","0.6410121953735096","0.6337506403688504","0.6490501935259562"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.001","0.49449682095018016","0.4975838330146881","0.49662152066256804","0.4892851091732844"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.001","0.6448386464668806","0.6571377079472398","0.629193348702185","0.6481848827512169"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","cdk_desc","0.001","0.5454598427130454","0.5249732109996124","0.5857710040983606","0.5256353130411632"
"data_tuberculosis","SVC_LIN_DESC","L2","Standard","cdk_desc","0.001","0.6648048290481176","0.6623228858945954","0.658932078210379","0.6731595230393782"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","rdkit_desc","0.01","0.6044394085756433","0.6086716021396467","0.5946102288251376","0.6100363947621456"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","rdkit_desc","0.01","0.6394419130740471","0.6425364813530072","0.6292915385928933","0.6464977192762404"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","rdkit_desc","0.01","0.6374124782796715","0.6325249406407888","0.631915983606558","0.6477965105916679"
"data_tuberculosis","SVC_LIN_DESC","L2","Standard","rdkit_desc","0.01","0.6444400565963254","0.6472309347542639","0.6371424607240448","0.6489467743106675"
"data_tuberculosis","SVC_LIN_DESC","L1","MaxMin","cdk_desc","0.01","0.6163849558797041","0.6270900577252752","0.5923892161885235","0.6296755937253138"
"data_tuberculosis","SVC_LIN_DESC","L2","MaxMin","cdk_desc","0.01","0.6616387975836168","0.6630633154088629","0.6522989241803289","0.6695541531616583"
"data_tuberculosis","SVC_LIN_DESC","L1","Standard","cdk_desc","0.01","0.661141932083985","0.6601895369275684","0.6523629610655726","0.6708732982588137"
